city,longitude,latitude,weather_id,weather_main,weather_description,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,wind_gust,date_time,country,sunrise,sunset
Navi Mumbai,73.0158,19.0368,721,Haze,haze,29.97,33.18,29.97,29.97,1010,62,3000,2.06,270,N/A,2024-10-23 00:17:33,IN,2024-10-23 06:34:35,2024-10-23 18:09:37
Allahabad,81.85,25.45,800,Clear,clear sky,24.87,24.61,24.87,24.87,1011,46,10000,1.63,70,1.76,2024-10-23 00:15:00,IN,2024-10-23 06:05:10,2024-10-23 17:28:22
Ranchi,85.3333,23.35,701,Mist,mist,20.06,20.42,20.06,20.06,1013,88,2000,1.03,360,N/A,2024-10-23 00:14:32,IN,2024-10-23 05:49:14,2024-10-23 17:16:26
Howrah,88.3103,22.5892,721,Haze,haze,27,29.55,27,27,1010,78,3500,2.57,340,N/A,2024-10-23 00:17:33,IN,2024-10-23 05:36:36,2024-10-23 17:05:15
Coimbatore,76.9667,11,200,Thunderstorm,thunderstorm with light rain,22.88,23.52,22.88,22.88,1012,88,4000,1.03,0,N/A,2024-10-23 00:24:36,IN,2024-10-23 06:11:53,2024-10-23 18:00:42
Jabalpur,79.9501,23.167,800,Clear,clear sky,21.63,21.21,21.63,21.63,1013,52,10000,1.41,130,1.41,2024-10-23 00:17:34,IN,2024-10-23 06:10:36,2024-10-23 17:38:08
Gwalior,78.1792,26.2236,800,Clear,clear sky,24.92,24.51,24.92,24.92,1012,40,10000,1.43,71,1.59,2024-10-23 00:17:34,IN,2024-10-23 06:20:36,2024-10-23 17:42:17
Vijayawada,80.6167,16.5167,803,Clouds,broken clouds,27.08,30.96,27.08,27.08,1011,90,10000,0.75,246,0.85,2024-10-23 00:27:21,IN,2024-10-23 06:01:57,2024-10-23 17:41:26
Jodhpur,73.03,26.2867,800,Clear,clear sky,28.52,28.14,28.52,28.52,1012,40,10000,0.89,40,0.91,2024-10-23 00:17:34,IN,2024-10-23 06:41:16,2024-10-23 18:02:48
Madurai,78.1167,9.9333,201,Thunderstorm,thunderstorm with rain,23.01,23.82,23.01,23.01,1011,94,3000,5.14,300,10.29,2024-10-23 00:17:34,IN,2024-10-23 06:06:24,2024-10-23 17:56:59
Raipur,81.6333,21.2333,804,Clouds,overcast clouds,21.87,21.71,21.87,21.87,1012,61,10000,1.24,315,1.3,2024-10-23 00:14:02,IN,2024-10-23 06:02:05,2024-10-23 17:33:11
Kota,75.8333,25.1833,800,Clear,clear sky,26.38,26.38,26.38,26.38,1012,38,10000,1.5,303,1.57,2024-10-23 00:27:22,IN,2024-10-23 06:28:59,2024-10-23 17:52:40
Guwahati,91.751,26.1862,701,Mist,mist,24.95,25.8,24.95,24.95,1011,88,3000,0,0,N/A,2024-10-23 00:16:27,IN,2024-10-23 05:26:16,2024-10-23 16:48:04
Chandigarh,76.7933,30.7343,800,Clear,clear sky,21.92,21.24,21.92,21.92,1012,41,10000,2.46,49,2.41,2024-10-23 00:19:04,IN,2024-10-23 06:30:45,2024-10-23 17:43:13
Bareilly,79.4167,28.35,800,Clear,clear sky,22.73,22.7,22.73,22.73,1012,63,10000,1.54,350,1.57,2024-10-23 00:17:36,IN,2024-10-23 06:17:47,2024-10-23 17:35:13
